时间,过去一季平均收益率,相对沪深300指数的收益率1,未来一个月平均收益率,相对沪深300指数的收益率2,两到三月平均收益率,相对沪深300指数的收益率3,过去一季收益率方差,相对沪深300指数的收益率方差1,未来一月收益率方差,相对沪深300指数的收益率方差2,两到三月收益率方差,相对沪深300指数的收益率方差3
2020-12-31,0.0482771044141995,-0.06394984756428349,-0.02503121981501033,-0.051611589296010285,0.0,0.0,0.004026866558405022,0.004026219088447101,0.0011830583488918094,0.0011830121752494413,0.0,0.0
2020-09-30,0.09100054077912072,-0.0016498015062026048,-0.016165882854962028,-0.022953184620704697,0.005622677848737967,-0.08173207559670963,0.003240193863352053,0.003208457970328285,0.0008695061821570458,0.0008695151914223641,0.00247303119499817,0.002472638192989175
2020-06-30,0.12380194483922817,0.0035796979033494995,0.11950414463195685,0.004042871205675815,-0.029284882719355632,-0.015383892131446508,0.0034927556813397894,0.0034690290713811135,0.0020955453949537788,0.002096603695105762,0.0012909762744535208,0.0012910471559086794
2020-03-31,-0.02097636466844489,0.0822483769950214,0.04793043043433496,-0.01449300868000822,0.1302205105053427,0.05349952458766464,0.002330409504055687,0.002337405190621771,0.0007449965992948477,0.0007456950327016789,0.0022144884684802283,0.002214488468480228
2019-12-31,0.051156912663472,-0.02011965379481201,0.0016775940984297584,0.030135722655505643,0.0510704433184988,0.038366774939840385,0.0014487993148239804,0.0014480044498715679,0.0007476885932039587,0.0007477749821541705,0.001607774664898104,0.001607787228090852
2019-09-30,0.0021510336139904723,0.023275754544128686,0.008253700237656337,-0.01075317577329705,0.05316049180498166,0.008443192914290434,0.001600598024805829,0.0016013854205728598,0.0004690493985360602,0.0004688679236718678,0.0010515212260802285,0.0010513051564958777
2019-06-30,-0.08633316204822504,-0.06715972875161849,-0.026768608466490828,-0.01933799200329576,-0.0008326543733924715,0.010103673607400089,0.001117296168743978,0.001115368359134706,0.00042524727750180763,0.00042523192904531207,0.0008055882273009732,0.0008055886664163049
2019-03-31,0.34574712933938323,0.06540395840803014,-0.04181811264086054,-0.044903042013910544,-0.013976973344582106,-0.027350743568984825,0.0036243542968033564,0.0035688495614348043,0.0007580919546808771,0.000758108371865617,0.0008776434664911332,0.0008776667773381198
2018-12-31,-0.0730670445625985,0.03074356422568097,-0.021995331153202676,-0.08311934751057305,0.347054221696271,0.1466963236100828,0.001050769582665225,0.001049408829492038,0.0004891884733779915,0.0004895639917454849,0.002367420305049124,0.0023662734316941296
2018-09-30,-0.06954310985661329,-0.05097947487209539,-0.09887953176260728,-0.024122573683620238,0.010367970269955932,0.04431112474292934,0.0010537031050551573,0.0010526529920494357,0.0004814539040310722,0.00048145390403107197,0.0008138957864298767,0.0008138951309155626
2018-06-30,-0.146563344938005,-0.0482762228452047,-0.0026549548950232493,-0.005683410013015648,-0.0837499365765392,-0.06335095866190107,0.0014343858032945852,0.001425956114617409,0.000514211808654006,0.0005141908375801505,0.0006006102585469269,0.0006006102585469268
2018-03-31,-0.010306231972233487,0.025369507006154826,-0.03565011131575546,0.0002707092493036005,-0.1016473517322546,-0.032959073700567054,0.0011238004152051195,0.0011225934102519807,0.0005842160708288587,0.000584346386183601,0.0010491487895816973,0.0010491487895816973
2017-12-31,-0.09860935360208328,-0.12866085390081777,-0.026362166702147173,-0.08329407027778078,5.98597805826535e-05,0.08836706946342864,0.0022353891032762994,0.0022458020762839604,0.0007201819375649995,0.0007205885711423753,0.0009287877380882613,0.0009291534263753805
2017-09-30,0.05912298876651384,0.014367717479341076,-0.02627695918352608,-0.05165679102430791,-0.05719702583043764,-0.0660686876547327,0.0014080609118372455,0.001402701895618726,0.0006752185731563188,0.0006756310831731169,0.001618937397836248,0.0016188726626334905
2017-06-30,-0.08684080155804247,-0.1519438010280288,-0.014936678562793447,-0.029791900193305448,0.06600064803495206,0.0353566869665102,0.001221402554961661,0.0012499096604067163,0.0005992531674540884,0.0005990084179357122,0.001009463261368302,0.001009463261368302
2017-03-31,0.008718066040970343,-0.03277629264211366,-0.0502828813172004,-0.03976516111388827,-0.03219482848495014,-0.10188140226730213,0.0014174200751330243,0.0014174589232770788,0.000650635761172435,0.0006504843179474081,0.0005898686957508858,0.0005898686957508861
2016-12-31,0.017631228480585414,0.004473657864410221,-0.02367804302325686,-0.045892488022924664,0.020781148095790593,0.0015916610091185515,0.0016656101561951962,0.0016653687448734886,0.0008637021418132021,0.0008640400120777634,0.0006109394681859359,0.0006108249827941197
2016-09-30,0.030325484302220748,0.0005997656107659001,0.03475807993534512,0.011937329300764323,-0.02049281488046458,-0.013791958743314616,0.0011171716792043212,0.0011139435027502371,0.0009567874718948441,0.0009567345099249596,0.0010951016457463676,0.0010951016457463676
2016-06-30,0.043762831045433256,0.06672853945234955,-0.0013774153619906283,-0.016239890107936365,0.04359961798795123,0.025814151076427958,0.0033825360608150533,0.0033835681569454605,0.0011502874518643836,0.0011503189078267482,0.0007352846856731451,0.0007352846856731451
2016-03-31,-0.16252182293833312,-0.027617265954166855,0.0024892189906209577,0.020192291772535977,0.05214277939465774,0.05400997436145968,0.0019951349466243357,0.0019863839525940705,0.001368352733501362,0.0013682112203225554,0.0014220300110956343,0.001422030011095634
2015-12-31,0.3564867228372681,0.23617218917404761,-0.26974858189364886,-0.06055028011871288,0.15393942831312019,0.05899345956141891,0.005300281754563548,0.005255458432120626,0.0014751527630006128,0.0014750860807404022,0.0011238805000440295,0.001123880500044029
2015-09-30,-0.2726512606706429,0.00062256224387953,0.15963971335151766,0.09675211703514887,0.21756449701854622,0.1385463717849632,0.0019945076996786687,0.0019868571524421044,0.0013279455409084733,0.001327945540908473,0.003637217720047305,0.0036339690158277496
2015-06-30,0.31547425090987274,0.23832740865655763,-0.12258182880885203,0.011949165363002515,-0.15961107689552698,-0.0075894521827798355,0.014325903646629263,0.014202962150221342,0.0026027491723531965,0.0026016299833026865,0.0013236208877716188,0.0013236208877716185
2015-03-31,0.41793474973736827,0.2853637832113353,0.17451498680004848,0.00387050127940766,0.11006230940025281,0.16982361825550674,0.006232549821865178,0.006094606760901951,0.0028124110067344896,0.0028124110067344887,0.0033316579045519247,0.0033332818481079415
2014-12-31,0.053628347984557824,-0.3733776243393615,0.07234994201331629,0.10925673953837083,0.3217446565723923,0.11623445548436777,0.004204489865795617,0.004246088267985395,0.0008095894585710903,0.0008097507243071697,0.0030002071325296122,0.0029972305411419793
